net,length_um
clknet_leaf_21_clk,102.34
_04049_,102.3
rvsingle.dp.rf.rf\[26\]\[7\],102.16
_04139_,102.02
_01177_,101.94
rvsingle.dp.rf.rf\[16\]\[13\],101.9
_02504_,101.845
clknet_leaf_64_clk,101.84
_05295_,101.78
rvsingle.dp.rf.rf\[29\]\[24\],101.78
rvsingle.dp.rf.rf\[20\]\[13\],101.45
_05098_,101.19
clknet_leaf_121_clk,101.13
rvsingle.dp.rf.rf\[5\]\[0\],100.95
_04524_,100.48
clknet_leaf_136_clk,100.48
_04919_,100.41
_03341_,100.3
rvsingle.dp.rf.rf\[13\]\[24\],99.68
rvsingle.dp.rf.rf\[12\]\[0\],99.54
_03382_,99.44
_04755_,99.36
rvsingle.dp.rf.rf\[10\]\[3\],98.945
_05899_,98.86
clknet_leaf_40_clk,98.8
_01245_,98.78
_02910_,98.72
rvsingle.dp.rf.rf\[9\]\[26\],98.66
clknet_leaf_108_clk,98.66
_04720_,98.425
rvsingle.dp.rf.rf\[11\]\[17\],98.38
clknet_leaf_113_clk,98.36
_03397_,98.06
_02259_,97.78
rvsingle.dp.rf.rf\[7\]\[17\],97.67
_04909_,97.665
rvsingle.dp.rf.rf\[12\]\[23\],97.5
rvsingle.dp.rf.rf\[4\]\[20\],97.36
clknet_leaf_50_clk,97.36
_03568_,97.3
rvsingle.dp.rf.rf\[31\]\[13\],97.155
rvsingle.dp.rf.rf\[5\]\[4\],97
clknet_leaf_53_clk,96.78
rvsingle.dp.rf.rf\[15\]\[3\],96.44
clknet_leaf_55_clk,96.38
_01480_,96.2
clknet_leaf_36_clk,96.115
rvsingle.dp.rf.rf\[29\]\[15\],95.99
clknet_leaf_147_clk,95.56
rvsingle.dp.rf.rf\[8\]\[0\],95.48
rvsingle.dp.rf.rf\[2\]\[5\],95.46
_06038_,95.2
clknet_leaf_33_clk,95.12
rvsingle.dp.rf.rf\[20\]\[12\],95.06
clknet_leaf_51_clk,95.02
WriteData[7],94.8
_04874_,94.58
rvsingle.dp.rf.rf\[3\]\[25\],94.38
_05769_,93.98
clknet_leaf_123_clk,93.82
clknet_leaf_57_clk,93.78
_04965_,93.3
clknet_leaf_116_clk,93.16
_03481_,93.08
clknet_leaf_125_clk,93.06
clknet_leaf_2_clk,92.9
rvsingle.dp.rf.rf\[17\]\[18\],92.595
_03697_,92.5
rvsingle.dp.rf.rf\[19\]\[11\],92.5
clknet_leaf_16_clk,92.06
_03117_,91.76
_02294_,91.72
_04917_,91.6
_02550_,91.5
clknet_leaf_37_clk,91.38
_03103_,91.32
_04737_,91.175
_05212_,90.96
rvsingle.dp.rf.rf\[24\]\[13\],90.78
_04590_,90.62
_01774_,90.615
_04975_,90.61
rvsingle.dp.rf.rf\[1\]\[25\],90.465
clknet_leaf_150_clk,90.46
clknet_leaf_45_clk,90.26
rvsingle.dp.rf.rf\[22\]\[13\],90.205
_03956_,90.14
rvsingle.dp.rf.rf\[29\]\[13\],90.04
_02961_,89.78
clknet_leaf_35_clk,89.58
_05754_,89.38
_02295_,89.12
_04245_,89.08
rvsingle.dp.rf.rf\[27\]\[8\],89.08
